"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.05026,1,0,0,0.05,0.005
-0.00022382,0.0015274,0,-0.0506,1,0.0001,0.0001,0.05,0.005
-0.00044764,0.0030548,0,-0.050939,1,0.0002,0.0002,0.05,0.005
-0.00067146,0.0045821,0,-0.051279,1,0.0003,0.0003,0.05,0.005
-0.00089528,0.0061095,0,-0.051619,1,0.0004,0.0004,0.05,0.005
-0.0011191,0.0076369,0,-0.051959,1,0.0005,0.0005,0.05,0.005
-0.0013429,0.0091643,0,-0.052299,1,0.0006,0.0006,0.05,0.005
-0.0015667,0.010692,0,-0.052638,1,0.0007,0.0007,0.05,0.005
-0.0017906,0.012219,0,-0.052978,1,0.0008,0.0008,0.05,0.005
-0.0020144,0.013746,0,-0.053318,1,0.0009,0.0009,0.05,0.005
-0.0022382,0.015274,0,-0.053658,1,0.001,0.001,0.05,0.005
-0.002462,0.016801,0,-0.053997,1,0.0011,0.0011,0.05,0.005
-0.0026858,0.018329,0,-0.054337,1,0.0012,0.0012,0.05,0.005
-0.0029097,0.019856,0,-0.054677,1,0.0013,0.0013,0.05,0.005
-0.0031335,0.021383,0,-0.055017,1,0.0014,0.0014,0.05,0.005
-0.0033573,0.022911,0,-0.055357,1,0.0015,0.0015,0.05,0.005
-0.0035811,0.024438,0,-0.055696,1,0.0016,0.0016,0.05,0.005
-0.0038049,0.025965,0,-0.056036,1,0.0017,0.0017,0.05,0.005
-0.0040288,0.027493,0,-0.056376,1,0.0018,0.0018,0.05,0.005
-0.0042526,0.02902,0,-0.056716,1,0.0019,0.0019,0.05,0.005
-0.0044764,0.030548,0,-0.057055,1,0.002,0.002,0.05,0.005
-0.0047002,0.032075,0,-0.057395,1,0.0021,0.0021,0.05,0.005
-0.004924,0.033602,0,-0.057735,1,0.0022,0.0022,0.05,0.005
-0.0051478,0.03513,0,-0.058075,1,0.0023,0.0023,0.05,0.005
-0.0053717,0.036657,0,-0.058415,1,0.0024,0.0024,0.05,0.005
-0.0055955,0.038184,0,-0.058754,1,0.0025,0.0025,0.05,0.005
-0.0058193,0.039712,0,-0.059094,1,0.0026,0.0026,0.05,0.005
-0.0060431,0.041239,0,-0.059434,1,0.0027,0.0027,0.05,0.005
-0.0062669,0.042767,0,-0.059774,1,0.0028,0.0028,0.05,0.005
-0.0064908,0.044294,0,-0.060113,1,0.0029,0.0029,0.05,0.005
-0.0067146,0.045821,0,-0.060453,1,0.003,0.003,0.05,0.005
-0.0069384,0.047349,0,-0.060793,1,0.0031,0.0031,0.05,0.005
-0.0071622,0.048876,0,-0.061133,1,0.0032,0.0032,0.05,0.005
-0.007386,0.050403,0,-0.061473,1,0.0033,0.0033,0.05,0.005
-0.0076099,0.051931,0,-0.061812,1,0.0034,0.0034,0.05,0.005
-0.0078337,0.053458,0,-0.062152,1,0.0035,0.0035,0.05,0.005
-0.0080575,0.054986,0,-0.062492,1,0.0036,0.0036,0.05,0.005
-0.0082813,0.056513,0,-0.062832,1,0.0037,0.0037,0.05,0.005
-0.0085051,0.05804,0,-0.063171,1,0.0038,0.0038,0.05,0.005
-0.008729,0.059568,0,-0.063511,1,0.0039,0.0039,0.05,0.005
-0.0089528,0.061095,0,-0.063851,1,0.004,0.004,0.05,0.005
-0.0091766,0.062622,0,-0.064191,1,0.0041,0.0041,0.05,0.005
-0.0094004,0.06415,0,-0.06453,1,0.0042,0.0042,0.05,0.005
-0.0096242,0.065677,0,-0.06487,1,0.0043,0.0043,0.05,0.005
-0.0098481,0.067205,0,-0.06521,1,0.0044,0.0044,0.05,0.005
-0.010072,0.068732,0,-0.06555,1,0.0045,0.0045,0.05,0.005
-0.010296,0.070259,0,-0.06589,1,0.0046,0.0046,0.05,0.005
-0.01052,0.071787,0,-0.066229,1,0.0047,0.0047,0.05,0.005
-0.010743,0.073314,0,-0.066569,1,0.0048,0.0048,0.05,0.005
-0.010967,0.074842,0,-0.066909,1,0.0049,0.0049,0.05,0.005
-0.011191,0.076369,0,-0.067249,1,0.005,0.005,0.05,0.005
-0.011618,0.077466,0,-0.067755,1,0.0051,0.0051,0.05,0.005
-0.012044,0.078563,0,-0.068261,1,0.0052,0.0052,0.05,0.005
-0.012471,0.079661,0,-0.068767,1,0.0053,0.0053,0.05,0.005
-0.012898,0.080758,0,-0.069273,1,0.0054,0.0054,0.05,0.005
-0.013324,0.081855,0,-0.06978,1,0.0055,0.0055,0.05,0.005
-0.013751,0.082953,0,-0.070286,1,0.0056,0.0056,0.05,0.005
-0.014178,0.08405,0,-0.070792,1,0.0057,0.0057,0.05,0.005
-0.014604,0.085147,0,-0.071298,1,0.0058,0.0058,0.05,0.005
-0.015031,0.086244,0,-0.071804,1,0.0059,0.0059,0.05,0.005
-0.015458,0.087342,0,-0.072311,1,0.006,0.006,0.05,0.005
-0.015884,0.088439,0,-0.072817,1,0.0061,0.0061,0.05,0.005
-0.016311,0.089536,0,-0.073323,1,0.0062,0.0062,0.05,0.005
-0.016738,0.090634,0,-0.073829,1,0.0063,0.0063,0.05,0.005
-0.017164,0.091731,0,-0.074335,1,0.0064,0.0064,0.05,0.005
-0.017591,0.092828,0,-0.074841,1,0.0065,0.0065,0.05,0.005
-0.018018,0.093925,0,-0.075348,1,0.0066,0.0066,0.05,0.005
-0.018445,0.095023,0,-0.075854,1,0.0067,0.0067,0.05,0.005
-0.018871,0.09612,0,-0.07636,1,0.0068,0.0068,0.05,0.005
-0.019298,0.097217,0,-0.076866,1,0.0069,0.0069,0.05,0.005
-0.019725,0.098315,0,-0.077372,1,0.007,0.007,0.05,0.005
-0.020151,0.099412,0,-0.077879,1,0.0071,0.0071,0.05,0.005
-0.020578,0.10051,0,-0.078385,1,0.0072,0.0072,0.05,0.005
-0.021005,0.10161,0,-0.078891,1,0.0073,0.0073,0.05,0.005
-0.021431,0.1027,0,-0.079397,1,0.0074,0.0074,0.05,0.005
-0.021858,0.1038,0,-0.079903,1,0.0075,0.0075,0.05,0.005
-0.022285,0.1049,0,-0.080409,1,0.0076,0.0076,0.05,0.005
-0.022711,0.106,0,-0.080916,1,0.0077,0.0077,0.05,0.005
-0.023138,0.10709,0,-0.081422,1,0.0078,0.0078,0.05,0.005
-0.023565,0.10819,0,-0.081928,1,0.0079,0.0079,0.05,0.005
-0.023991,0.10929,0,-0.082434,1,0.008,0.008,0.05,0.005
-0.024418,0.11038,0,-0.08294,1,0.0081,0.0081,0.05,0.005
-0.024845,0.11148,0,-0.083447,1,0.0082,0.0082,0.05,0.005
-0.025271,0.11258,0,-0.083953,1,0.0083,0.0083,0.05,0.005
-0.025698,0.11368,0,-0.084459,1,0.0084,0.0084,0.05,0.005
-0.026125,0.11477,0,-0.084965,1,0.0085,0.0085,0.05,0.005
-0.026551,0.11587,0,-0.085471,1,0.0086,0.0086,0.05,0.005
-0.026978,0.11697,0,-0.085977,1,0.0087,0.0087,0.05,0.005
-0.027405,0.11807,0,-0.086484,1,0.0088,0.0088,0.05,0.005
-0.027831,0.11916,0,-0.08699,1,0.0089,0.0089,0.05,0.005
-0.028258,0.12026,0,-0.087496,1,0.009,0.009,0.05,0.005
-0.028685,0.12136,0,-0.088002,1,0.0091,0.0091,0.05,0.005
-0.029111,0.12245,0,-0.088508,1,0.0092,0.0092,0.05,0.005
-0.029538,0.12355,0,-0.089015,1,0.0093,0.0093,0.05,0.005
-0.029965,0.12465,0,-0.089521,1,0.0094,0.0094,0.05,0.005
-0.030392,0.12575,0,-0.090027,1,0.0095,0.0095,0.05,0.005
-0.030818,0.12684,0,-0.090533,1,0.0096,0.0096,0.05,0.005
-0.031245,0.12794,0,-0.091039,1,0.0097,0.0097,0.05,0.005
-0.031672,0.12904,0,-0.091546,1,0.0098,0.0098,0.05,0.005
-0.032098,0.13014,0,-0.092052,1,0.0099,0.0099,0.05,0.005
-0.032525,0.13123,0,-0.092558,1,0.01,0.01,0.05,0.005
-0.033114,0.13189,0,-0.092758,1,0.0101,0.0101,0.05,0.005
-0.033702,0.13254,0,-0.092959,1,0.0102,0.0102,0.05,0.005
-0.034291,0.13319,0,-0.09316,1,0.0103,0.0103,0.05,0.005
-0.03488,0.13384,0,-0.09336,1,0.0104,0.0104,0.05,0.005
-0.035468,0.13449,0,-0.093561,1,0.0105,0.0105,0.05,0.005
-0.036057,0.13515,0,-0.093761,1,0.0106,0.0106,0.05,0.005
-0.036645,0.1358,0,-0.093962,1,0.0107,0.0107,0.05,0.005
-0.037234,0.13645,0,-0.094163,1,0.0108,0.0108,0.05,0.005
-0.037823,0.1371,0,-0.094363,1,0.0109,0.0109,0.05,0.005
-0.038411,0.13775,0,-0.094564,1,0.011,0.011,0.05,0.005
-0.039,0.13841,0,-0.094764,1,0.0111,0.0111,0.05,0.005
-0.039589,0.13906,0,-0.094965,1,0.0112,0.0112,0.05,0.005
-0.040177,0.13971,0,-0.095166,1,0.0113,0.0113,0.05,0.005
-0.040766,0.14036,0,-0.095366,1,0.0114,0.0114,0.05,0.005
-0.041355,0.14102,0,-0.095567,1,0.0115,0.0115,0.05,0.005
-0.041943,0.14167,0,-0.095767,1,0.0116,0.0116,0.05,0.005
-0.042532,0.14232,0,-0.095968,1,0.0117,0.0117,0.05,0.005
-0.043121,0.14297,0,-0.096169,1,0.0118,0.0118,0.05,0.005
-0.043709,0.14362,0,-0.096369,1,0.0119,0.0119,0.05,0.005
-0.044298,0.14428,0,-0.09657,1,0.012,0.012,0.05,0.005
-0.044887,0.14493,0,-0.09677,1,0.0121,0.0121,0.05,0.005
-0.045475,0.14558,0,-0.096971,1,0.0122,0.0122,0.05,0.005
-0.046064,0.14623,0,-0.097171,1,0.0123,0.0123,0.05,0.005
-0.046653,0.14688,0,-0.097372,1,0.0124,0.0124,0.05,0.005
-0.047241,0.14754,0,-0.097573,1,0.0125,0.0125,0.05,0.005
-0.04783,0.14819,0,-0.097773,1,0.0126,0.0126,0.05,0.005
-0.048419,0.14884,0,-0.097974,1,0.0127,0.0127,0.05,0.005
-0.049007,0.14949,0,-0.098174,1,0.0128,0.0128,0.05,0.005
-0.049596,0.15015,0,-0.098375,1,0.0129,0.0129,0.05,0.005
-0.050184,0.1508,0,-0.098576,1,0.013,0.013,0.05,0.005
-0.050773,0.15145,0,-0.098776,1,0.0131,0.0131,0.05,0.005
-0.051362,0.1521,0,-0.098977,1,0.0132,0.0132,0.05,0.005
